"","Target.Maneuver","Target.Quantity","Launch.Range","Approach.Angle","Ship.Maneuver","day","wholeplot_error","subplot_error"
"2","Radial",3,2500,0,"No",1,1.47440398158003,-1.86492143329818
"4","Radial",9,2500,45,"No",1,1.47440398158003,-0.825222368469594
"5","Radial",9,5000,45,"No",1,1.47440398158003,0.828294870459935
"6","Radial",3,2500,45,"No",1,1.47440398158003,-0.0983919365658094
"7","Radial",9,7500,0,"No",1,1.47440398158003,-0.391102713114026
"8","Weave",9,5000,45,"No",1,1.47440398158003,-1.920461624164
"9","Weave",9,2500,45,"No",1,1.47440398158003,0.327935575282044
"10","Weave",3,2500,45,"No",1,1.47440398158003,-0.397233429473173
"11","Radial",3,5000,0,"No",2,-0.43603645279631,-0.418267789384548
"13","Weave",9,2500,0,"No",2,-0.43603645279631,-1.94739707712357
"14","Weave",3,5000,0,"No",2,-0.43603645279631,-0.295795207939648
"17","Radial",9,7500,0,"No",2,-0.43603645279631,-2.03773298571739
"18","Weave",3,2500,0,"No",2,-0.43603645279631,0.48051795119311
"20","Radial",3,7500,45,"No",2,-0.43603645279631,1.13162826174356
"21","Weave",9,7500,45,"No",2,-0.43603645279631,0.795223356079491
"23","Radial",9,5000,45,"No",2,-0.43603645279631,-2.00910520607712
"24","Weave",3,2500,45,"No",2,-0.43603645279631,0.70826792467007
"25","Weave",9,5000,0,"No",2,-0.43603645279631,-1.43978942167826
"26","Weave",3,5000,45,"No",2,-0.43603645279631,-1.22860690150663
"27","Radial",3,5000,45,"No",2,-0.43603645279631,-0.132784566806914
"1","Weave",3,7500,0,"Yes",2,-0.43603645279631,1.16437242338733
"3","Radial",3,5000,0,"Yes",2,-0.43603645279631,-0.768802827012945
"12","Radial",3,2500,0,"Yes",2,-0.43603645279631,-1.17402963463786
"15","Weave",3,7500,0,"Yes",2,-0.43603645279631,-1.63795858671712
"16","Radial",9,5000,0,"Yes",2,-0.43603645279631,-0.478660118310087
"19","Weave",9,5000,0,"Yes",2,-0.43603645279631,0.193464691130841
"22","Radial",9,2500,0,"Yes",2,-0.43603645279631,0.86283922110336
"28","Weave",9,2500,0,"Yes",2,-0.43603645279631,0.0194806468386841
"29","Weave",3,7500,0,"Yes",2,-0.43603645279631,0.323148216917763
