"","Target.Maneuver","Target.Quantity","Launch.Range","Approach.Angle","Ship.Maneuver","day","wholeplot_error","subplot_error"
"2","Radial",3,2500,0,"No",1,0.225118960230884,-1.02208337904791
"4","Radial",9,2500,45,"No",1,0.225118960230884,-0.0367030886332504
"5","Radial",9,5000,45,"No",1,0.225118960230884,-0.749108627207526
"6","Radial",3,2500,45,"No",1,0.225118960230884,0.633862420244421
"7","Radial",9,7500,0,"No",1,0.225118960230884,-1.06341604978724
"8","Weave",9,5000,45,"No",1,0.225118960230884,1.54636166713517
"9","Weave",9,2500,45,"No",1,0.225118960230884,1.84671652958195
"10","Weave",3,2500,45,"No",1,0.225118960230884,-0.893838824603571
"11","Radial",3,5000,0,"No",2,2.25286475703674,0.373018605355956
"13","Weave",9,2500,0,"No",2,2.25286475703674,2.40573153782294
"14","Weave",3,5000,0,"No",2,2.25286475703674,-0.526274849516937
"17","Radial",9,7500,0,"No",2,2.25286475703674,-0.140168908959072
"18","Weave",3,2500,0,"No",2,2.25286475703674,0.578095663732005
"20","Radial",3,7500,45,"No",2,2.25286475703674,0.0690329290838046
"21","Weave",9,7500,45,"No",2,2.25286475703674,0.772376869007964
"23","Radial",9,5000,45,"No",2,2.25286475703674,-1.56828375007391
"24","Weave",3,2500,45,"No",2,2.25286475703674,-0.449984826689887
"25","Weave",9,5000,0,"No",2,2.25286475703674,0.717323848138924
"26","Weave",3,5000,45,"No",2,2.25286475703674,-0.227345350305775
"27","Radial",3,5000,45,"No",2,2.25286475703674,0.671595189068788
"1","Weave",3,7500,0,"Yes",2,2.25286475703674,-1.1496730215988
"3","Radial",3,5000,0,"Yes",2,2.25286475703674,0.129488728342825
"12","Radial",3,2500,0,"Yes",2,2.25286475703674,0.774744926843194
"15","Weave",3,7500,0,"Yes",2,2.25286475703674,-1.53979848341651
"16","Radial",9,5000,0,"Yes",2,2.25286475703674,0.0609812330785144
"19","Weave",9,5000,0,"Yes",2,2.25286475703674,0.903942861367639
"22","Radial",9,2500,0,"Yes",2,2.25286475703674,-0.969068692219999
"28","Weave",9,2500,0,"Yes",2,2.25286475703674,0.98364257000927
"29","Weave",3,7500,0,"Yes",2,2.25286475703674,0.288139783180625
